"stfips","areatype","area","areaname","periodyear","periodtype","period","Adjusted","Preliminary","benchmark","laborforce","emplab","unemp","unemprate"
"06","01","000000","California","1990","01","00","Not adj","Not Prelim","2008",15168500,14294100,874400,5.8
"06","01","000000","California","1990","01","00","Not adj","Not Prelim","2009",15168500,14294100,874400,5.8
"06","01","000000","California","1990","01","00","Adj","Not Prelim","2008",15168500,14294100,874400,5.8
"06","01","000000","California","1990","03","01","Not adj","Not Prelim","2008",15092800,14244400,848500,5.6
"06","01","000000","California","1990","03","01","Not adj","Not Prelim","2009",15092800,14244400,848500,5.6
"06","01","000000","California","1990","03","01","Adj","Not Prelim","2008",14966400,14199400,767000,5.1
"06","01","000000","California","1990","03","01","Adj","Not Prelim","2009",14970700,14194500,776200,5.2
"06","01","000000","California","1990","03","02","Not adj","Not Prelim","2008",15129600,14284200,845300,5.6
"06","01","000000","California","1990","03","02","Not adj","Not Prelim","2009",15129600,14284200,845300,5.6
"06","01","000000","California","1990","03","02","Adj","Not Prelim","2008",15042100,14261400,780700,5.2
"06","01","000000","California","1990","03","02","Adj","Not Prelim","2009",15102600,14316500,786000,5.2
"06","01","000000","California","1990","03","03","Not adj","Not Prelim","2008",15163000,14345000,818000,5.4
"06","01","000000","California","1990","03","03","Not adj","Not Prelim","2009",15163000,14345000,818000,5.4
"06","01","000000","California","1990","03","03","Adj","Not Prelim","2008",15117200,14314800,802400,5.3
"06","01","000000","California","1990","03","03","Adj","Not Prelim","2009",15210300,14413300,797100,5.2
"06","01","000000","California","1990","03","04","Not adj","Not Prelim","2008",15143000,14335400,807600,5.3
"06","01","000000","California","1990","03","04","Not adj","Not Prelim","2009",15143000,14335400,807600,5.3
"06","01","000000","California","1990","03","04","Adj","Not Prelim","2008",15168000,14346600,821400,5.4
"06","01","000000","California","1990","03","04","Adj","Not Prelim","2009",15281000,14471100,809900,5.3
"06","01","000000","California","1990","03","05","Not adj","Not Prelim","2008",15235000,14435400,799600,5.2
"06","01","000000","California","1990","03","05","Not adj","Not Prelim","2009",15235000,14435400,799600,5.2
"06","01","000000","California","1990","03","05","Adj","Not Prelim","2008",15231300,14396200,835100,5.5
"06","01","000000","California","1990","03","05","Adj","Not Prelim","2009",15308700,14484700,824000,5.4
"06","01","000000","California","1990","03","06","Not adj","Not Prelim","2008",15302500,14500800,801700,5.2
"06","01","000000","California","1990","03","06","Not adj","Not Prelim","2009",15302500,14500800,801700,5.2
"06","01","000000","California","1990","03","06","Adj","Not Prelim","2008",15248000,14417500,830600,5.4
"06","01","000000","California","1990","03","06","Adj","Not Prelim","2009",15296300,14456000,840400,5.5
"06","01","000000","California","1990","03","07","Not adj","Not Prelim","2008",15445200,14525500,919700,6.0
"06","01","000000","California","1990","03","07","Not adj","Not Prelim","2009",15445200,14525500,919700,6.0
"06","01","000000","California","1990","03","07","Adj","Not Prelim","2008",15249900,14394500,855400,5.6
"06","01","000000","California","1990","03","07","Adj","Not Prelim","2009",15257000,14396100,860900,5.6
"06","01","000000","California","1990","03","08","Not adj","Not Prelim","2008",15391900,14520700,871200,5.7
"06","01","000000","California","1990","03","08","Not adj","Not Prelim","2009",15391900,14520700,871200,5.7
"06","01","000000","California","1990","03","08","Adj","Not Prelim","2008",15245300,14360900,884400,5.8
"06","01","000000","California","1990","03","08","Adj","Not Prelim","2009",15202200,14315400,886800,5.8
"06","01","000000","California","1990","03","09","Not adj","Not Prelim","2008",15016600,14121800,894800,6.0
"06","01","000000","California","1990","03","09","Not adj","Not Prelim","2009",15016600,14121800,894800,6.0
"06","01","000000","California","1990","03","09","Adj","Not Prelim","2008",15192100,14275900,916200,6.0
"06","01","000000","California","1990","03","09","Adj","Not Prelim","2009",15136100,14217300,918700,6.1
"06","01","000000","California","1990","03","10","Not adj","Not Prelim","2008",15057100,14155600,901500,6.0
"06","01","000000","California","1990","03","10","Not adj","Not Prelim","2009",15057100,14155600,901500,6.0
"06","01","000000","California","1990","03","10","Adj","Not Prelim","2008",15194300,14239600,954700,6.3
"06","01","000000","California","1990","03","10","Adj","Not Prelim","2009",15075400,14118500,956900,6.3
"06","01","000000","California","1990","03","11","Not adj","Not Prelim","2008",15032300,14041900,990400,6.6
"06","01","000000","California","1990","03","11","Not adj","Not Prelim","2009",15032300,14041900,990400,6.6
"06","01","000000","California","1990","03","11","Adj","Not Prelim","2008",15199600,14189100,1010500,6.6
"06","01","000000","California","1990","03","11","Adj","Not Prelim","2009",15034900,14036900,998000,6.6
"06","01","000000","California","1990","03","12","Not adj","Not Prelim","2008",15013500,14018800,994700,6.6
"06","01","000000","California","1990","03","12","Not adj","Not Prelim","2009",15013500,14018800,994700,6.6
"06","01","000000","California","1990","03","12","Adj","Not Prelim","2008",15168100,14133500,1034600,6.8
"06","01","000000","California","1990","03","12","Adj","Not Prelim","2009",15020200,13981700,1038500,6.9
"06","01","000000","California","1991","01","00","Not adj","Not Prelim","2008",15105400,13931700,1173700,7.8
"06","01","000000","California","1991","01","00","Not adj","Not Prelim","2009",15105400,13931700,1173700,7.8
"06","01","000000","California","1991","01","00","Adj","Not Prelim","2008",15105400,13931700,1173700,7.8
"06","01","000000","California","1991","03","01","Not adj","Not Prelim","2008",14958800,13821000,1137800,7.6
"06","01","000000","California","1991","03","01","Not adj","Not Prelim","2009",14958800,13821000,1137800,7.6
"06","01","000000","California","1991","03","01","Adj","Not Prelim","2008",15135800,14063100,1072600,7.1
"06","01","000000","California","1991","03","01","Adj","Not Prelim","2009",15027800,13950400,1077400,7.2
"06","01","000000","California","1991","03","02","Not adj","Not Prelim","2008",15035600,13833500,1202000,8.0
